Tweet,sentimen
"Rencana adalah jembatan untuk mewujudkan mimpi-mimpi kamu, dengan menabung di reksadana kamu dapat mulai mewujudkan impian masa depan kamu. Kemampuan dalam mengelola keuangan akan sangat memengaruhi kualitas kehidupan dan tujuan kamu. ",1
"Apa itu Saham? Yang mau belajar saham secara sederhana, bisa dimulai dengan mengerti apa itu saham. Enjoy!",1
"Coba2 siapa tau cuan, sampai ketemu 10 tahun lagi!",1
Kondisi saat ini memang sangat berat. Tapi bukan berarti Kita hanya pasrah dengan keadaan. Jadikan rintangan saat ini menjadi jalan untuk menemukan solusi solusi lain menuju sukses.,1
"IHSG anjlok dalam sepekan lalu, hampir semua jenis reksadana catatkan kinerja negatif",0
Kasus Gagal Bayar Asuransi Jiwa Dan Reksa Dana Coreng Citra Pengawas Pasar Modal,0
Yg faham2 ajarkan dong cara menentukan penilaian risikonya? sepertinya untuk main saham dan obligasi masih nderedeg tidak berani ☹️,0
"Investasi yang menguntungkan umumnya memiliki tujuan, yaitu passive income(penghasilan pasif). Memiliki investasi jangka panjang bisa menjadi alternatif passive income yang menarik di masa depan.",1
Ada pandemi corona Danareksa Mawar Fokus 10 jadi pilihan investasi reksadana saham,1
bibitid Reksadana pasar uang selalu hijau royo min.,1
Belajar sebelum berinvestasi itu penting. Tapi lebih penting kalau belajar sambil praktik berinvestasi. Mulai saja dulu dari yang risiko nya paling kecil. Yuk cari tau Reksadana,1
Good ide! simpan dry powder investasi saham di reksadana pasar uang.,1
"Pas turun, menunggu kapan mau top up. Pas makin turun, stres sendiri lihat loss, akhirnya realize loss. Pas mantap betul, menunggu ada konfirmasi mau naik, cash masih ditahan. Pas sekarang sudah tinggi, stres sendiri karena belum masuk-masuk.",0
Korban Investasi Berharap Jokowi Turun Tangan,0
"New Normal"" Membawa sentimen positif bagi pelaku pasar. Roda perekonomian nasional dinilai mulai kembali berputar 💡✨ Penguatan indeks didorong dari optimisme pelaku pasar yang muncul setelah digaungkannya skenario kehidupan baru",1
