sentimen,Tweet
0, <USERNAME> TOLOL!! Gak ada hubungan nya keguguran dengan pakai hijab syar' yang kamu bilang bayi nya kepanasan didalem tidak ada hubungan nya woyyyy!! Otak sama jempol kamu tidak sinkron sih ya jadinya asal menulis komentar!
0,Geblek kamu 
0,Kmrn termewek2 sekarang lengket lagi duhhh kok labil banget sih mbak kayak abege saja atau yang kemarin cari sensasi biar top markotoppp eong tidak berkualitas
0,"Intinya kalau kesal dengan ATT nya, tidak usah ke anaknya juga. Kasian buat perkembangan psikis anak kedepannya. Itu orang benar benar tolol, sekarang seandainya dia punya anak, terus anaknya diejek sama orang yang benci sama dia, bagaimana perasaan dia ? Benci sama seseorang boleh, tapi harus tau batesnya ?? toh namanya manusia, gaakan semua jadi penyuka, pasti ada hater ??"
0,"hadewwwww permpuan itu lagi!!!!sakit jiwa,kenapa harus dia yang jadi peran utama di film hantu jeruk purut,ky khabisan stok Ais saja"
0,"Pantesan di tinggalkan laki, ya lakinya juga pikir kali kalau perempuannya kayagni. Ngurus diri saja dia tidak becus bagaimana mengurus anak, mending anak sama ayahnya nya saja benar didiknya"
0,"kebiasaan balajaer nyampahig para ,kok balajaer yang heboh dan asyik ceramahin yang punya ""ketika balajaer bersabda""demi seonggak koin laknat !lagi masihbela mati matian,pada sakit jiwa"
0,karena sebagian besar rakyat indonesia itu bodoh. Tdk bisa membedakan mana yang baik mana yang buruk. Sdh tau perilaku buruk tidak tau sopan santun itu yang dipilih jadi panutan. Lebih mengidolakan yang murahan dari pada yang berkelas dan ber etika
0,ayu janda bego punya suami kapan nikah laginya?
0,"Anyiennnnggg.. Suaranya hancur banget, lebih merdu tukang gorengan"
0,"Syarat sah nikah menurut agama islam hanyayaitu : adanya CPP, adanya CPW, saksi, wali nikah dan mas kawin/mahar. Perkara makeup tidak manglingi bukan syarat sah pernikahan. Sekalipun tidak makeup tapi syarat ygtersebut terpenuhi maka pernikahannya SAH ya emak emak julids"
0,"Cewek tak tau diri nih, merebut pacar orang. Udh mana punya abang yang mendukung sifat jeleknya lagi. Ckck"
0, <USERNAME> ??? Kids jaman now ya kebanyakan micin.. Mna kata aku yang ngina??? Bego dipelihara??????
0,Jijik lihatnya sumpah deh minceeee
