sentimen,Tweet
0,lagu bosan apa yang aku save nih huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
0,kita lanjutkan saja diam ini hingga kamu dan aku mengerti tidak semua kebersamaan harus melibatkan hati 
1,doa rezeki tak putus inna ha zaa larizquna mak lahu min na fadesungguhnya ini ialah pemberian kami kepada kamu p 
1,terima kasih lah nanti kita bagi hasil aku 99 9 sisanya buat kamu
0,aku tak paham betul jenis orang malaysia yang tak mengerti nak sangkut balik hose itu aku geli bodoh nak pegang 
0,cerita dia macam nih mamat nih hari hari aku menampak keluar masuk cimb ceria saja tapi hari nih aku tengok muka dia masam aku p 
1,ya aku akan menjadi satu satunya bukan nomor satu tetapi satu satunya
0,aku saja cape sama diriku sendiri apalagi kamu maaf ya ' 
0,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kasihan dan mudah memaafkan 
1,i do not know kenapa but these zikir sangat membantu aku pon dapat hasil dari orang retweetambil usaha sambil doa insya alla 
0,commitmentetakat kehulu hilir together tapi tak put effort nak kahwin baik tinggalkan je bazir masa 
1,ah kamu saja mas aku lebih suka diayomi 
1,mau bantu aku menabung 
0,kamu jahat dubu lt 
0,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit itu 
1,tak peduli seperti apa hidupmu kamu selalu punya pilihan untuk melihat dari sisi baiknya atau sisi buruknya 
1,aku sudah tahu macam mana nak bagi pengantin gelak natural hahahahahahahahahahaha 
1,cara nak mintak maaf ada 3 1 aku meminta maaf 2 aku mengaku salah aku 3 apa yang boleh aku buat untuk betulkan ba 
0,kalau gebetan kamu tidak pernah buang ludah di jalan memacari 
0,jangan dekat dengan aku aku tengah susah nanti aku senang aku panggil 
1,yuk netweetjen dibantu
1,ya allah ya tuhanku kamu lindungilah kedua ibu bapaku di saat aku berjauhan dengan mereka 
1,giveaway karena hari ini umur aku bertambah jadi aku ingin berbagi rules saja dan ucapkan saya wish dan screenshoo 
1,ya allah ya tuhanku kamu lindungilah kedua ibu bapaku di saat aku berjauhan dengan mereka 
1,selamat hari jumat buat kamu yang selalu bikin rindu ini kumat 
0,kasihan belakang dengan laki lain and girl goes like mesti dia tak bagi attention sampai gf dia buat camtuh men are t 
1,diremas di enyot ngedusel dusel di nenen kamu wah mantap
0,idm halo ami tolobg bantu ya huhu ini aku masalah album ku yang tidak sampai sampai 
0,tak ada gf pun tak apa imaginary gf pun also can setelah itu lama lama aku jadi gila sekian
1,hi rakyat2 ku karena akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri e 
0,10 tahun jadi bestfriend but gaduh sikit sampai 7 bulan tak tegur malam tadi aku koyak sikit pasti post gambar dia tetib 
0,pacar kamu sibuk ya kok tumben komen wassap cerita aku 
0,kucing datang bawah meja mintak makanan kamu bagi lah apa yang ada jangan sepak2 pula dia tak datang seekor dia datang ber 
0,lepaskanlah dia tidak mau kamuadarlah jangan membatu 
0,aku nak tanya lah apa perasaan korang bila simpan duit dalam tabung kemudian anai2 makan duit itu 
0,tolong sebelum kamu nak kacau orang yang aku sayang kamu pikir dulu macam mana perasaan kamu bila ada orang kacau buah hati kamu
0,biasalah itu perempuan kena berjaga jaga muka malaikat pun kadang2 perangai syaitan juga aku pernah tidak camni lari laju teruk 
1,pilih salah satu yang paling kamu nyaman
1,aku sendiri juga yuk barengan
0,aku benci soalan bala dengan amelia sudah lah tak ada duit natural killer pinjam pinjam lak coba betul pasti aku lak aku kena kire
0,24 8 18 birthday abang aku dia ajak pergi makan aku tolak sebab kerja balik lambat nak ot 26 8 18 dia ajak per 
