sentimen,Tweet
0,Jelek 
0,Film raja Ahur ini film paling jelek dari seluruh cerita King Ahur 
0,@beexkuanlin Sepanjang film gue berkata kasar terus pada bapaknya
0,Ane tidak suka fast and 
0,"@baekhyun36 kan gue tidak tau film nya, kamu bilang perang perangan/? Perang""an disebut sama rupiah iya jadi ambigu :"
0,tolong editingnya yang bagus ya. Saya sering kecewa dengan film indonesia. Ditunggu filmnya!!
0,"Kecewa dengan salah satu aktornya yang ternyata pendukung penista agama. Ah, saya harus bersabar untuk tak menonton film ini."
0,Kecewa parah sama film the guys. Dear @radityadika maaf to sayang this.
0,Banyak yang kecewa habis menonton film ini :(
0,#TheMummy 2017 adalah film yang paling memgecewakan saya selama hidup. Yah padahal saya sudah berekspektasi tinggi dan suka banget mesir kuno.
0,"film jelek, jelas. Ga ada isinya. "
0,awal bulan ini menonton dua film Indonesia di bioskop: kaini dan critical eleven. penggambaran kaini dan ale juga anya terlalu lemah. :( 
0,"Nonton film #Kaini miris , ternyata di jaman itu dan jaman sekarang bangsa kita tetap bodoh, Serakah, Gila kawin .. IRONIS !! #CelotehPagi"
0,"Btw Danur jelek banget, tidak usah ditonton Hans @hansdavidian gue terbayang kamu bakal #meantweets soal film ini nanti! Lol"
0,"Film Kaini terlalu singkat, sehingga penonton yang mungkin belum baca biografi jelas tentang Kaini agak bingung. Saya sendiri memang belum baca bukuny."
0,"Habis menonton the guys, entah kenapa aku sedikit kecewa menonton film ini.. Dibanding film sebelumnya kok ini anjlok ya"
0,Yang sudah menonton film Alien kok pada kecewa ya. Jadi ragu buat menonton.
0,satu-satunya kerugian menonton film action itu.. aktornya jadi kelihatan jelek :
0,Ini film yang bilang 
0,"baik, kita sudahi saja. hidup terlalu singkat untuk dihabisken dengan menonton film jelek."
0,"Film King Ahur itu tidak jelek namun juga tidak bagus. Biasa saja, cenderung mudah dilupakan."
0,"Jelek ah jelek Pantas film Dimension tidak pernah dirilis, akting kamu begini ternyata /tidak "
0,aduh ini film ribet banget ...
0,"Dgn durasi film yang tll panjang, alur yang datar, akhirnya setelah #CriticalEleven selesai saya keluar dengan peanyaan: ini masalahnya apa sih?"
0,"Banyak adegan penting yang di potong, jadinya merusak film itu sendiri "
0,"baru selesai menonton film GOAL , ternyata penurunan kualitas film nya drastis parah."
0,Baru keingat film yang cukup beda dengan buku sampai bikin kecewa teman yang mengajak menonton: Black Bulter
0,ogah menonton lagi saya. Kecewa sama itu film 
0,"Kecewa berat sama film Power Rangers, di bawah ekspektasi banget "
0,Bahas soal film yang diangkat dari novel rasanya kalau di bikin film kurang puas saja begitu
0,"Sebenernya enggak ada yang salah sama akting Prilly di film Danur menurut aku oke oke saja. Yang kurang greget itu ceritanya sih, kurang kuat."
0,"Tadi habis menonton film balap2 mobil itu,teidur sekitar 15 menit. Entah lelah entah bosan."
0,The mummy film yang terasa mulai aneh sejak peengahan filmnya #mummy
0,"Memang malah kelihatan aneh kalau ada film besutan Marvel yang tidak ada post-credit scene nya,kayak film yang habis saya tonton,#Logan."
0,Film norak!!!! 
0,adanya film critical eleven ini jadi merusak citra Ale Anya di kepalaku :(
0,"#FactRica ~ kurang suka sama film-film romantis, karena akhirnya pasti jadian"
0,Dibalik novel yang diangkat jadi film. Terus jadinya kurang. Sesungguhny ada campur tangan produser yang sok tau dengan embel embel lebih menjual
0,karena tidak respect kelakuan sih dian sastro !!! 
0,sebnarnya ini film lumyan 
0,Kalo Nolan bikin film tidak ada perempuan seksi* dan bumbu percintaan selalu hambar.
0,". Insidious (2010) Meski creepy dan bagian awalnya bikin tegang, bagian akhir film ini justru terasa agak datar. Hal tersebut berpengaruh+"
0,Ini gue menonton film homo saja rumit benar
0,Sayang banget ketika ada film lokal yang bagus tapi budgetnya kurang jadi layar yang bisa di tonton jadi terbatas banget. sayang banget
0,Film macam apa ini? Nonton nya bikin gue menderita -_-
0,jadi gue menonton The Mummy ini karena seseorang bilang film nya bagus. tapi kemudian setelah keluar dari bioskop merasa 
0,"Semalam menonton film ini, paginya saya unduh, malam langsung menonton.. saya sampai begadang.. hasilnya? Ane ://"
0,"Aku takut kecewa menonton film Danur, takut tidak sesuai ekspetasi ketika di buku. Mikir panjang, serius."
0,Nonton alien : covenant di @cinema21 mal @MciMall kayak menonton bajakan parah ada yang di SKIP mati mati jelek parah!!!! Film bagus jadi jelek 
0,"gue adalah orang yang jarang banget menonton film , gue selalu kecewa sama pembuatan film yang mana gue tidak totalitas"
0,"Awalnya agak ragu mau menonton, karena kebanyakan kecewa waktu menonton film dari adaptasi novel"
0,Sebenarnya tidak mau berekspektasi tinggi sih dari sebuah film yang diangkat dari buku. Biasanya malah kecewa :(
0,Ya sudah tidur saja kecewa film nya bukan yang diharepin hufy
0,"Sama, saya juga kecewa sama nih film, padahal sudah lama menunggu"
0,Ka @selliyamanto sudah menonton #MembabiButa? Agak kecewa menonton film itu
0,Jenuh menonton 
0,sesal di dada menonton ini 
0,"Netizen membatalkan menonton film ""Kaini"" gara-gara kelakuan @therealDiSastr. "
0,"film jelek, jelas. Ga ada isinya."
0,Itu film makin aneh saja ?
0,"Agak aneh film terbaru Conan, baru kali ini tidak spektakuler. Tp openingnya hancurkan gedung sih"
0,"@askmenfess Film yang bikin emosional, benar-benar nyedot emosi."
0,@panji @InsyaAllahSah Film busuk dan ais dungu merusak bineka
0,"Kecewa dengan plot cerita film dengan the guys, ceritanya seakan lompat tidak ada proses visual yang bisa bikin kita mengei mengapa amira suka sama alfi"
0,jijik banget sama film ini. apalagi pas dia jadi kelinci gede-_- nightmare parah. 
0,"banyak yang bilang film Mummy jelek, pdahl ingin menonton"
0,"Banyak yang bilang, film ini jelek. Daur ulang yang gagal. Di imdb dan ratattote saja ratingnya anjlok. Tp menurutku, aku suka sama film ini"
0,Naruto adalah film paling bodoh ke-8 haha #faktanya #kutipan
0,Gw ekspektasinya film ini punya kekuatan narasi yang gue bisa jadikan motivasi. Tp kalimat inspiratifnya kurang banyak hehe
0,Filmhambar
0,"Film The Mummy menurut gue tidak sesuai harapan, agak agak bagaimana begitu filmnya, aneh. Dan bukan film tipe bang tom sepei biasanya -_-"""
0,ya kiraan film baru wkwk penonton kecewaa
0,"Mau bilang jelek ya bilang saja, sekalipun yang buat film itu teman sendiri. Sebut ""filmya bagus"" padahal biasa saja tidak bikin teman kamu maju sih."
0,"Abis menonton King Ahur. Temen gue pesan, sebelum menonton ""lah, itu film jelek katanya"" jangan selalu percaya sama pesan yang ada unsur ""KATANYA"" .."
0,Kadang lebih gampang nilai film jelek ketimbang nilai film bagus. Mbuh.
0,Ini film apa sudah. Baru mulai sudah begini-_- jijk
0,"Film Kaini menang pada pemain"" film yang kelas atas yang sudah punya nama. Tapi ceritanya kurang dapat dan kurang riset menurut saya."
0,"Entah aku yang kurang belajar sejarah apa bagaimana, tapi entah kenapa konflik yang ditampilkan di film Kaini kayak kurang memenuhi ekspektasi saja"
0,"Film itu kalau banyak di sensor, rasanyaada, hambar"
0,Semoga tidak busuk kayak film yang peama
0,Flm apa ini :) arah dan tujuannya enggak jelas.. Nyesel unduh ! ! — menonton Hangout Film
0,Hari ini menonton film terasa; hambarr
0,Kurang mengei sama film nya the mummy..
0,Kecewa banyak deh pokoknya.. Setidaknya masalah jam tayang bisa saja ngeiin tetapi kalau film di cut itu ygbs dingeiin #KaulahTakdirkuMembelamu
0,"Pernah novel orit di filmkan & hasilnya bikin kecewa parah. Tp dari teaser #CriticalEleven saya yakin, tim CE serius sama film ini"
0,"Intinya, kemarin kecewa banget sama @cinema21 karena mmbiarkan anak kecil menonton film dewasa & jam tayang malam (20.30 WIB) pula #CriticalEleven"
0,Aduh! Film bagian ini jijk parah
0,Kecewa parah menonton film the guys ini. Entah kenapa makin kesini radit bikin film tidak pernah benar. Lucu juga enggak. Jalan cerita juga 
0,"Agak kecewa sama film Danur, di luar ekspektasi :("
0,Ancur banget itu film. Jelekk
0,Flm nya jelekk bingittsss.
0,"Film hangout kok biasa saja sih, malah tidak jelas sepeinya. Kecewaa"
0,Ternyata akhir film kamar 207 jelekk
0,Filmnya saja 
0,Kurang suka sama film #pesbukers cewek cewek terllu terbuka penampilannya. Kurang baik kalau di tonton anak kecil
0,Buried ini film budget termurah dengan tingkat depresi teinggi
0,"lalu setelah film berakhir, pikir ''apa menonton film yang isinya anak sama semua..'' terus agak menyesal :("
0,"Gila, film Britney Ever After jelek banget parah! Nyesel menonton walau tidak sampai habis."
0,"Film danur enggak sepei novelnya. Harapan lebih seram ternyata cuma bikin boring. Sorry teh, tapi novelnya lebih bagus :)"
0,tidak bakal gue menonton film setan indonesia thur. mengecewakan semua. murahan cuma ngandelin sex
1,"Keren bang film kamu @radityadika persahabatan, keluarga dan cinta kental banget. Tokoh pemain pas semua keren bang"
1,"Habis menonton film Kong: Skull Island 2017. Lumayan greget filmnya, . deh.. layak buat menonton bareng"
1,"Bravo untuk #filmkaini! Pemainnya bagus, sudut pandang ceritanya pun menarik. Film yang penting untuk ditonton perempuan dan juga lelaki."
1,Abis menonton film #kaini. Bagussss banget! Dr awal sampai akhir haruuuu
1,#RomanHarusBeahan bangga menyukai film yang mengandung banyak makna spei ini.. @RompisRepost @LayarDrama_RCTI
1,"Tiga kata untuk film #danur : cukup, dramatis dan laris."
1,Film kaini.. Meski aku agak telat nontonnya. film ini bagus 
1,Aku menangis di akhir film kaini #banggafilmindonesia
1,"pokoknya kalian harus menonton film kaini, asli KEREN ! @LegacyPictures @Hanungbramantyo menonton di bioskop ya, buatannya susah lah"
1,"film divergent seru-_- ah kenapa sudah selesai sih-,-"
1,"Tentang Get Out. kalau masih ada, cepatan menonton. mending menonton ini dulu daripada Fast Furious"
1,Saya suka video @YouTube ?TRAILER FILM THE GUYS (di bioskop 13 April 2017)
1,"Agak kebanyakan nangis2nya untuk selera saya, tapi secara keseluruhan saya kagum dengan film #Kaini."
1,"terima kasih kamu buat mas @awisuryadi dan tim yang sudah buat Danur. film nya keren , silakan ditonton. rekomended."
1,#DANUR film horor Indonesia terlaris sepanjang masa dengan .690.000 penonton sejak tayang 30 Maret 2017. #ManojPunjabi #DanurMovie
1,"Beambah lagi film Indonesia yang bakal jadi orite. Ya, #CriticalEleven setelah baca buku & menonton. Gak kecewa. Sama2 Bagus @ikanatassa"
1,nah ini. coba menonton filmnya deh. asyik parah 
