sentimen,Tweet
0,lagu bosan save ni huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
0,am kau erti mua an libat hati
1,doa rezeki putus inna haa zaa larizquna maa u min na fadesungguhnya man p p
1,sih loh ntar hasil 99 9 sisa
0,faham jenis orang malays ret nak sangkut ho tu geli bodoh nak pegang
0,cerita a ni m ni 2 nam masuk cimb cer ja ni tengok muka a m p
1,ya menja nya nomor te nya
0,aja capek riku nri maaf ya
0,cuba nak amal sikap gi s ng gagal bab jenis mudah sn mudah maaf
1,i dont know why but the zikir bantu pon dt hasil orang retweetambil a doa insha alla
0,commitmenteat hulu hilir together put effort nak kahwin tinggal je bazir
1,aah aja mas suka ayom
1,bantu na
0,jahat dubu lt
0,nak asa korang simpan duit ta mu anai2 m duit tu
1,peduli ti hidup ya pilih sisi nya sisi buruk
1,dah nak pengantin gelak natural hahahahahahahahahahaha
1,nak k maaf 3 1 maaf 2 meng sa 3 ba
0,kalo gebetan ngga buang ludah jalan pacarin
0,s nang panggil
1,yuk netweetjen bantu
1,ya al ya tuhan kau lindung bap beran
1,giveaway umur ber ja ber rules aja wish screenshoo
1,ya al ya tuhan kau lindung bap beran
1,l jumat yg bikin rindu kumat
0,sn belg laki and girl goes li mesti a attention gf a camtuh men are t
1,remes enyot ngedul dul nenen mantap
0,idm lo ami tolobg bantu ya huhu mah album ku yg ga sampe sampe
0,de gf pe imaginary gf also can lepastu ja gila kn
1,hi rakyat2 ku nyauga postelca give away album love yourlf answerealed versionnya pilihenri e
0,10 n ja bestfriend but gaduh sikit 7 tegur malam ta koyak sikit pastu post gambar a tetib
0,pacar sk ya tumben komen wassap story
0,kucin meja k man kau 2 k a ekor a ber
0,lepas a r batu
0,nak asa korang simpan duit ta mu anai2 m duit tu
0,tolong kau nak kacau orang yg ng kau fikir mcm asa kau orang kacau buah hati kau
0,bh tu empuan na jaga jaga muka malaikat kng2 angai syaitan k gak camni lari laju teruk
1,pilih sa nyaman
1,nri aa yuk bareng
0,benci an bala dgn amel dh la de duit nk pinjam pinjam lak cb tul pastu lak na kire
0,24 8 18 birthday abang a ajak gi m tolak bab rja lambat nak ot 26 8 18 a ajak
1,m giveaway berhu ultah rezeki pulsa 10k li aja mutualan bgt doain yaa un j
1,mantan brengk lupain ja peng sa pilih bego bego
1,aryana tolong bukak mata pilih syafiq br sofea bahag adrn pls laaaaaaaa murung kal
1,cita cita bintang langit te lupa mem anak tangga encanaannya cendekbijak
0,ga l l unn
0,try lup benda tu nya benda tu ja down ya al tlg laa hilang cewaan yg
0,iyaaaa kasn hae nya lelep
1,cantik la confess kat crush peluang na reject tu nipis l epidermis bawang je tang ni u confess hmm
0,dah k g 2x ga hasil a
0,ku introvert karna nga ya uang aja ja males
1,cnta kmu tuh kyk fto albm tau g dbalk2 ttp aj g brbh sma ky km yg g prnh brbh untk mnj yg tr untk
1,indones damai pimpin belu
0,fakap u nak gi m ramai2 nak happy2 tetibe badmood woiiii nak m je woiii
0,u awek bising nothing is wrong once awek dah nyap everything is wrong haps a dah someone yg
0,abis ga berani bawa motor beber pas bawa motor gemeteran g
1,nk walk in aje nang
1,ja ti
1,ntsa ri gembira orang g cewa moga ntsa
0,gipewei h nih okjin rt fllw rep pict okjin tag klo doain gpp ga gpp
1,temen temen yg jatinangor rnya tolong beli ya jual bk belu jual kain lap t dsb
1,hahaa ga ngerti ta tp jwb aja
1,lak menja orangtua kul me anak nak caya ayah tidur sng men
0,kabul doa ku klosdonecepatnya oy kalo
1,terhr hahahahahahahahahahahaha
1,okay but the bahasa melayu names for our malaysn birds mudah terhr connya burung rek ber
0,apebende laa met ni i better stop
1,iya lucu emang a temenan ig
0,dear makhluk hidup rku kalo tau in lgsung aja ga orang lumayan gak
0,member ade cite kat break up dgn gf e time a cerita suddenly a menang weyh 5 n kot
0,hati cewa h sorang je orang
